symbol,timestamp,open,high,low,close,volume
SPY,2024-01-02,469.71,470.00,467.61,469.33,64991180
QQQ,2024-01-02,399.53,399.63,386.31,386.51,61635586
IWM,2024-01-02,200.11,202.87,199.90,202.16,24206872
TLT,2024-01-02,95.15,95.28,94.08,94.11,13176870
GLD,2024-01-02,189.88,191.89,189.64,191.55,5692185
SPY,2024-01-03,464.90,466.09,461.48,463.27,94016195
QQQ,2024-01-03,383.96,395.14,381.91,391.24,56896141
IWM,2024-01-03,202.78,203.10,202.37,202.88,38349444
TLT,2024-01-03,93.91,93.95,93.39,93.55,15197244
GLD,2024-01-03,191.95,192.70,190.37,190.64,9337307
SPY,2024-01-04,463.11,472.60,460.22,471.34,81876929
QQQ,2024-01-04,390.58,391.09,385.94,386.35,73214085
IWM,2024-01-04,202.29,206.83,200.84,204.96,29691001
TLT,2024-01-04,93.34,93.81,93.03,93.76,9402051
GLD,2024-01-04,190.86,191.19,189.71,189.73,8737581
SPY,2024-01-05,471.80,474.09,470.19,472.28,86096754
QQQ,2024-01-05,386.29,395.30,385.92,395.00,47232100
IWM,2024-01-05,204.81,206.10,199.40,200.14,39822187
TLT,2024-01-05,93.96,94.00,91.13,91.56,14296797
GLD,2024-01-05,189.51,194.14,189.19,193.18,7417197
SPY,2024-01-08,470.17,473.04,470.15,472.97,78574318
QQQ,2024-01-08,397.91,401.86,396.01,396.38,53231456
IWM,2024-01-08,198.52,205.94,198.51,205.79,35793978
TLT,2024-01-08,91.22,91.24,90.01,90.03,16848641
GLD,2024-01-08,193.35,193.39,191.85,192.18,6024923
SPY,2024-01-09,471.07,491.14,470.08,490.27,87866533
QQQ,2024-01-09,398.80,398.89,391.04,391.50,45100289
IWM,2024-01-09,206.03,206.43,203.96,204.11,45379380
TLT,2024-01-09,90.17,90.57,89.98,90.17,12940215
GLD,2024-01-09,192.63,192.79,188.90,189.17,8829149
SPY,2024-01-10,487.65,491.42,486.11,489.26,63065447
QQQ,2024-01-10,392.35,404.81,391.42,403.48,53808900
IWM,2024-01-10,206.33,206.99,203.39,204.18,60301982
TLT,2024-01-10,90.77,91.42,90.65,91.27,10821965
GLD,2024-01-10,189.20,189.56,187.91,188.05,9250751
SPY,2024-01-11,487.49,489.62,480.57,488.98,66084333
QQQ,2024-01-11,402.29,403.08,390.15,392.75,39014858
IWM,2024-01-11,205.39,205.94,200.02,202.29,34754639
TLT,2024-01-11,91.85,92.63,91.71,92.57,11204173
GLD,2024-01-11,188.34,188.45,186.74,187.00,6755549
SPY,2024-01-12,490.11,491.11,481.91,482.34,77508758
QQQ,2024-01-12,391.90,393.11,386.67,387.76,65273357
IWM,2024-01-12,202.76,206.15,202.75,205.57,36260896
TLT,2024-01-12,92.99,93.86,92.83,93.31,13028007
GLD,2024-01-12,186.32,189.14,186.26,188.37,10945683
SPY,2024-01-16,480.21,485.33,479.84,483.01,85920863
QQQ,2024-01-16,389.42,396.49,388.11,394.81,54076781
IWM,2024-01-16,203.43,210.20,203.28,210.10,32464139
TLT,2024-01-16,93.41,93.43,92.55,92.67,11703847
GLD,2024-01-16,188.31,191.24,187.39,191.21,9509558
SPY,2024-01-17,481.77,490.27,481.13,489.15,89562844
QQQ,2024-01-17,396.02,404.96,394.37,399.31,45925881
IWM,2024-01-17,210.57,211.52,209.32,210.17,32054680
TLT,2024-01-17,93.17,93.97,92.02,92.33,7400903
GLD,2024-01-17,191.34,194.64,191.06,194.04,9917753
SPY,2024-01-18,489.34,489.84,479.74,481.22,57227417
QQQ,2024-01-18,403.22,404.34,398.61,401.71,50307070
IWM,2024-01-18,209.22,211.91,208.79,210.96,33830251
TLT,2024-01-18,92.11,93.05,91.55,91.77,16767594
GLD,2024-01-18,194.44,197.22,194.22,197.17,9075814
SPY,2024-01-19,479.73,482.44,479.60,480.69,69124399
QQQ,2024-01-19,406.65,406.71,395.42,399.26,46185464
IWM,2024-01-19,209.45,211.77,208.98,210.77,32066008
TLT,2024-01-19,91.72,92.79,91.59,92.49,14290424
GLD,2024-01-19,197.43,197.93,195.75,196.02,6476595
SPY,2024-01-22,480.00,482.10,468.21,469.66,80033560
QQQ,2024-01-22,400.47,402.89,390.28,390.82,52559829
IWM,2024-01-22,210.94,215.38,209.47,214.55,39280082
